function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_tume,cum_time_per_call
io.py:14(xyz),10000,20,alphabeta,1,0.0017959999999999999,0.0017959999999999999,23.005558,23.005558
io.py:82(write_features),10000,20,alphabeta,1,0.035658999999999996,0.035658999999999996,6.917942999999999,6.917942999999999
io.py:5(<module>),10000,20,alphabeta,1,9e-06,9e-06,0.01701,0.01701
features.py:54(normalized_eigenvalues),5000,20,eigenvalues,10000,0.043626,4.3625999999999995e-06,0.087433,8.7433e-06
features.py:72(triangle_variance_space),5000,20,eigenvalues,5000,0.025323,5.0646e-06,0.071476,1.42952e-05
features.py:115(compute_3D_features),5000,20,eigenvalues,5000,0.05615,1.123e-05,0.16927,3.3854e-05
features.py:6(<module>),5000,20,eigenvalues,1,7e-06,7e-06,0.295313,0.295313
extract.py:124(eigen_features),5000,20,eigenvalues,5001,0.15412299999999998,3.081843631273745e-05,2.744897,0.000548869626074785
extract.py:14(<module>),5000,20,eigenvalues,1,2.1e-05,2.1e-05,0.8303379999999999,0.8303379999999999
extract.py:33(build_neighborhood),5000,20,eigenvalues,5000,0.016227,3.2454e-06,0.7369399999999999,0.00014738799999999998
__init__.py:4(<module>),5000,20,eigenvalues,1,0.0,0.0,0.0,0.0
io.py:14(xyz),5000,20,eigenvalues,1,0.0020989999999999997,0.0020989999999999997,24.775271,24.775271
io.py:82(write_features),5000,20,eigenvalues,1,0.017034999999999998,0.017034999999999998,2.977727,2.977727
io.py:5(<module>),5000,20,eigenvalues,1,1.1e-05,1.1e-05,0.013359999999999999,0.013359999999999999
features.py:12(accumulation_2d_neighborhood),5000,50,full,1,0.00010999999999999999,0.00010999999999999999,0.036555,0.036555
features.py:54(normalized_eigenvalues),5000,50,full,10000,0.062298,6.2298e-06,0.12067199999999999,1.2067199999999999e-05
features.py:72(triangle_variance_space),5000,50,full,5000,0.038099999999999995,7.619999999999999e-06,0.094439,1.88878e-05
features.py:115(compute_3D_features),5000,50,full,5000,0.07116,1.4232e-05,0.217433,4.34866e-05
features.py:148(compute_2D_features),5000,50,full,5000,0.030927999999999997,6.1856e-06,0.049462,9.8924e-06
features.py:168(compute_3D_properties),5000,50,full,5000,0.045569,9.113799999999999e-06,0.502312,0.0001004624
features.py:211(<listcomp>),5000,50,full,5000,0.61487,0.000122974,0.650691,0.0001301382
features.py:195(compute_2D_properties),5000,50,full,5000,0.039611,7.9222e-06,0.703477,0.0001406954
features.py:218(verticality_coefficient),5000,50,full,5000,0.016590999999999998,3.3181999999999994e-06,0.019191,3.8382e-06
features.py:6(<module>),5000,50,full,1,6e-06,6e-06,0.22159199999999998,0.22159199999999998
extract.py:56(retrieve_accumulation_features),5000,50,full,5000,0.149556,2.99112e-05,30.176574,0.006035314799999999
extract.py:183(all_features),5000,50,full,5001,0.405534,8.109058188362327e-05,37.661558,0.007530805438912217
extract.py:14(<module>),5000,50,full,1,1.9999999999999998e-05,1.9999999999999998e-05,0.659207,0.659207
extract.py:33(build_neighborhood),5000,50,full,5000,0.033544,6.708799999999999e-06,1.2449489999999999,0.00024898979999999997
__init__.py:4(<module>),5000,50,full,1,0.0,0.0,0.0,0.0
io.py:14(xyz),5000,50,full,1,0.0024749999999999998,0.0024749999999999998,27.127799,27.127799
io.py:82(write_features),5000,50,full,1,0.032551,0.032551,38.158856,38.158856
io.py:5(<module>),5000,50,full,1,9.999999999999999e-06,9.999999999999999e-06,0.013193999999999999,0.013193999999999999
features.py:54(normalized_eigenvalues),5000,100,eigenvalues,10000,0.05091,5.091e-06,0.100573,1.00573e-05
features.py:72(triangle_variance_space),5000,100,eigenvalues,5000,0.029845,5.969e-06,0.082755,1.6550999999999998e-05
features.py:115(compute_3D_features),5000,100,eigenvalues,5000,0.064306,1.28612e-05,0.193816,3.8763199999999995e-05
features.py:6(<module>),5000,100,eigenvalues,1,6e-06,6e-06,0.28453,0.28453
extract.py:124(eigen_features),5000,100,eigenvalues,5001,0.209218,4.183523295340932e-05,3.4268229999999997,0.0006852275544891022
extract.py:14(<module>),5000,100,eigenvalues,1,2.3e-05,2.3e-05,0.765639,0.765639
extract.py:33(build_neighborhood),5000,100,eigenvalues,5000,0.020739999999999998,4.148e-06,0.993377,0.0001986754
__init__.py:4(<module>),5000,100,eigenvalues,1,0.0,0.0,0.0,0.0
io.py:14(xyz),5000,100,eigenvalues,1,0.0023469999999999997,0.0023469999999999997,24.591708999999998,24.591708999999998
io.py:82(write_features),5000,100,eigenvalues,1,0.018602999999999998,0.018602999999999998,3.692796,3.692796
io.py:5(<module>),5000,100,eigenvalues,1,7e-06,7e-06,0.012915,0.012915
features.py:54(normalized_eigenvalues),50000,50,alphabeta,50000,0.252722,5.05444e-06,0.522226,1.044452e-05
features.py:72(triangle_variance_space),50000,50,alphabeta,50000,0.255649,5.11298e-06,0.777875,1.5557499999999998e-05
features.py:6(<module>),50000,50,alphabeta,1,9e-06,9e-06,0.278865,0.278865
extract.py:81(alphabeta_features),50000,50,alphabeta,50001,1.32943,2.6588068238635225e-05,27.448051,0.00054895004099918
